filename,genre
metal.00002.wav,metal
metal.00033.wav,metal
metal.00020.wav,metal
metal.00016.wav,metal
metal.00091.wav,metal
metal.00043.wav,metal
metal.00094.wav,metal
metal.00066.wav,metal
metal.00007.wav,metal
metal.00017.wav,metal
metal.00078.wav,metal
metal.00011.wav,metal
metal.00088.wav,metal
metal.00050.wav,metal
metal.00054.wav,metal
metal.00089.wav,metal
metal.00019.wav,metal
metal.00022.wav,metal
metal.00030.wav,metal
metal.00042.wav,metal
metal.00023.wav,metal
metal.00086.wav,metal
metal.00031.wav,metal
metal.00061.wav,metal
metal.00076.wav,metal
metal.00006.wav,metal
metal.00063.wav,metal
metal.00075.wav,metal
metal.00046.wav,metal
metal.00045.wav,metal
metal.00083.wav,metal
metal.00003.wav,metal
metal.00062.wav,metal
metal.00060.wav,metal
metal.00068.wav,metal
metal.00074.wav,metal
metal.00041.wav,metal
metal.00069.wav,metal
metal.00055.wav,metal
metal.00010.wav,metal
metal.00035.wav,metal
metal.00053.wav,metal
metal.00084.wav,metal
metal.00099.wav,metal
metal.00001.wav,metal
metal.00077.wav,metal
metal.00026.wav,metal
metal.00059.wav,metal
metal.00024.wav,metal
metal.00051.wav,metal
metal.00064.wav,metal
metal.00092.wav,metal
metal.00036.wav,metal
metal.00028.wav,metal
metal.00072.wav,metal
metal.00081.wav,metal
metal.00021.wav,metal
metal.00067.wav,metal
metal.00082.wav,metal
metal.00097.wav,metal
metal.00012.wav,metal
metal.00049.wav,metal
metal.00070.wav,metal
metal.00005.wav,metal
metal.00025.wav,metal
metal.00040.wav,metal
metal.00087.wav,metal
metal.00015.wav,metal
metal.00047.wav,metal
metal.00071.wav,metal
metal.00039.wav,metal
metal.00098.wav,metal
metal.00008.wav,metal
metal.00013.wav,metal
metal.00038.wav,metal
metal.00037.wav,metal
metal.00056.wav,metal
metal.00044.wav,metal
metal.00034.wav,metal
metal.00057.wav,metal
metal.00093.wav,metal
metal.00048.wav,metal
metal.00095.wav,metal
metal.00052.wav,metal
metal.00058.wav,metal
metal.00096.wav,metal
metal.00073.wav,metal
metal.00009.wav,metal
metal.00018.wav,metal
metal.00032.wav,metal
metal.00004.wav,metal
metal.00029.wav,metal
metal.00085.wav,metal
metal.00000.wav,metal
metal.00065.wav,metal
metal.00027.wav,metal
metal.00080.wav,metal
